Id,Start Date,End Date,Time,Recurrence,Day Of Week,Add Date
1,2024-06-03,2024-06-03,12:15:00,oto,,Mon Jun 03 2024 11:41:52 GMT+0530 (India Standard Time)
2,2024-06-03,2024-06-03,12:15:00,oto,,Mon Jun 03 2024 11:42:57 GMT+0530 (India Standard Time)
3,2024-06-02,2024-06-05,12:31:00,daily,,Mon Jun 03 2024 12:30:13 GMT+0530 (India Standard Time)
4,2024-06-02,2024-06-05,12:32:00,weekly,monday,Mon Jun 03 2024 12:31:50 GMT+0530 (India Standard Time)
5,2024-06-02,2024-06-06,14:24:00,daily,,Mon Jun 03 2024 14:23:01 GMT+0530 (India Standard Time)
6,2024-06-02,2024-06-06,13:20:00,daily,,Mon Jun 03 2024 15:35:55 GMT+0530 (India Standard Time)
7,2024-06-03,2024-06-03,15:38:00,oto,,Mon Jun 03 2024 15:37:58 GMT+0530 (India Standard Time)
8,2024-06-02,2024-06-03,18:31:00,daily,,Mon Jun 03 2024 18:30:29 GMT+0530 (India Standard Time)
9,2024-06-03,2024-06-03,18:34:00,weekly,monday,Mon Jun 03 2024 18:33:31 GMT+0530 (India Standard Time)
10,2024-05-30,2024-06-12,18:58:00,daily,,Mon Jun 03 2024 18:57:13 GMT+0530 (India Standard Time)
14,2024-06-03,2024-06-13,12:14:00,daily,,Tue Jun 04 2024 12:13:46 GMT+0530 (India Standard Time)
15,2024-05-29,2024-06-03,15:25:00,daily,,Tue Jun 04 2024 15:24:24 GMT+0530 (India Standard Time)
16,2003-05-13,2003-05-13,16:06:00,weekly,monday,Tue Jun 04 2024 17:05:10 GMT+0530 (India Standard Time)
17,2003-05-13,2003-06-13,15:15:00,weekly,tuesday,Tue Jun 04 2024 18:14:44 GMT+0530 (India Standard Time)
18,2024-06-03,2024-06-03,13:54:00,oto,,Tue Jun 04 2024 18:27:54 GMT+0530 (India Standard Time)
19,2024-06-05,2024-06-05,15:41:00,oto,,Wed Jun 05 2024 15:42:22 GMT+0530 (India Standard Time)
20,2024-06-05,2024-06-05,16:42:00,oto,,Wed Jun 05 2024 15:42:47 GMT+0530 (India Standard Time)
21,2024-06-05,2024-06-05,17:11:00,oto,,Wed Jun 05 2024 17:10:38 GMT+0530 (India Standard Time)
22,2024-06-04,2024-06-11,17:12:00,daily,,Wed Jun 05 2024 17:11:15 GMT+0530 (India Standard Time)
23,2024-06-06,2024-06-06,10:30:00,oto,,Thu Jun 06 2024 10:30:25 GMT+0530 (India Standard Time)
24,2024-06-21,2024-06-21,05:30:00,oto,,Thu Jun 06 2024 10:30:55 GMT+0530 (India Standard Time)
25,2024-06-27,2024-06-28,05:14:00,daily,,Thu Jun 06 2024 10:31:35 GMT+0530 (India Standard Time)
26,2024-06-06,2024-06-06,10:41:00,oto,,Thu Jun 06 2024 10:36:38 GMT+0530 (India Standard Time)
27,2024-06-05,2024-06-07,13:39:00,daily,,Thu Jun 06 2024 10:45:31 GMT+0530 (India Standard Time)
